quant,rep_instrumental,task_id,task_type,q_completo,q_resumen,efecto_resumen,q_descarte,efecto_descarte
AWQ,3,T13,SUMMARIZE,1.0,1.0,preserva,1.0,preserva
AWQ,3,T14,RECALL,1.0,1.0,preserva,0.5,perjudica
AWQ,3,T15,SONDA,0.5,1.0,repara,0.5,ambos fallan
AWQ,3,T16,RECALL,1.0,1.0,preserva,1.0,preserva
FP16,1,T01,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,T02,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_A,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,T03,CLASSIFY,1.0,1.0,preserva,1.0,preserva
FP16,1,T04,CONSTRAINT,0.875,0.875,ambos fallan,0.875,ambos fallan
FP16,1,T05,DRAFT,1.0,1.0,preserva,1.0,preserva
FP16,1,T06,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_B,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,T07,SUMMARIZE,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_D,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,FACT_M1,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_E,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,FACT_M2,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_F,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,T08,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_G,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,FACT_M3,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_H,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,T09,CONSTRAINT,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_I,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,T10,DRAFT,1.0,1.0,preserva,0.8889,perjudica
FP16,1,T11,RECALL,1.0,1.0,preserva,0.5,perjudica
FP16,1,SONDA_J,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,1,SONDA_C,SONDA,1.0,0.0,perjudica,0.0,perjudica
FP16,1,T12,FACT,1.0,1.0,preserva,1.0,preserva
FP16,1,T13,SUMMARIZE,1.0,1.0,preserva,1.0,preserva
FP16,1,T14,RECALL,1.0,1.0,preserva,0.5,perjudica
FP16,1,T15,SONDA,0.0,1.0,repara,0.5,ambos fallan
FP16,1,T16,RECALL,1.0,1.0,preserva,1.0,preserva
FP16,2,T01,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,T02,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_A,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,T03,CLASSIFY,1.0,1.0,preserva,1.0,preserva
FP16,2,T04,CONSTRAINT,0.875,0.875,ambos fallan,0.875,ambos fallan
FP16,2,T05,DRAFT,1.0,1.0,preserva,1.0,preserva
FP16,2,T06,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_B,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,T07,SUMMARIZE,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_D,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,FACT_M1,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_E,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,FACT_M2,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_F,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,T08,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_G,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,FACT_M3,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_H,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,T09,CONSTRAINT,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_I,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,T10,DRAFT,1.0,1.0,preserva,0.8889,perjudica
FP16,2,T11,RECALL,1.0,1.0,preserva,0.5,perjudica
FP16,2,SONDA_J,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,2,SONDA_C,SONDA,1.0,0.0,perjudica,0.0,perjudica
FP16,2,T12,FACT,1.0,1.0,preserva,1.0,preserva
FP16,2,T13,SUMMARIZE,1.0,1.0,preserva,1.0,preserva
FP16,2,T14,RECALL,1.0,1.0,preserva,0.5,perjudica
FP16,2,T15,SONDA,0.0,1.0,repara,0.5,ambos fallan
FP16,2,T16,RECALL,1.0,1.0,preserva,1.0,preserva
FP16,3,T01,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,T02,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_A,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,T03,CLASSIFY,1.0,1.0,preserva,1.0,preserva
FP16,3,T04,CONSTRAINT,0.875,0.875,ambos fallan,0.875,ambos fallan
FP16,3,T05,DRAFT,1.0,1.0,preserva,1.0,preserva
FP16,3,T06,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_B,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,T07,SUMMARIZE,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_D,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,FACT_M1,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_E,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,FACT_M2,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_F,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,T08,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_G,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,FACT_M3,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_H,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,T09,CONSTRAINT,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_I,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,T10,DRAFT,1.0,1.0,preserva,0.8889,perjudica
FP16,3,T11,RECALL,1.0,1.0,preserva,0.5,perjudica
FP16,3,SONDA_J,SONDA,1.0,1.0,preserva,1.0,preserva
FP16,3,SONDA_C,SONDA,1.0,0.0,perjudica,0.0,perjudica
FP16,3,T12,FACT,1.0,1.0,preserva,1.0,preserva
FP16,3,T13,SUMMARIZE,1.0,1.0,preserva,1.0,preserva
FP16,3,T14,RECALL,1.0,1.0,preserva,0.5,perjudica
FP16,3,T15,SONDA,0.0,1.0,repara,0.5,ambos fallan
FP16,3,T16,RECALL,1.0,1.0,preserva,1.0,preserva
